user_id,item_list
0,3875 5532 6411 3285 4486 2556 457 2628 2168 2399 868 3300 4835 5723 5825 5705 3049 2392 1252 3180
1,1940 6810 5323 4936 3460 2907 5981 1949 2295 755 403 5630 2509 5223 6457 2628 812 2329 1771 2781
2,2557 4264 5640 5369 1539 4709 5723 2110 1983 2228 2324 6054 2529 4877 2703 868 5553 5323 3285 596
3,4592 4161 6739 6329 336 5252 1554 2873 3713 862 729 1458 788 3410 6771 1596 6846 6033 1407 1418
4,3512 4373 2167 4835 6018 84 5369 891 3410 2808 1494 2803 3966 2632 5069 5063 5460 3236 200 210
5,3410 5532 3512 5442 6624 4484 3316 479 1602 4200 262 1073 1610 2556 1700 536 5369 6158 891 1418
6,3236 236 479 4720 4877 2167 3824 6651 4220 6054 3930 891 1818 2226 5340 6316 2891 2602 5460 3602
7,1038 2904 596 290 6190 1373 1985 4270 3180 1791 2917 4231 1958 5337 2167 4172 4200 5425 283 2226
8,262 531 3236 372 4484 536 2556 6645 457 1418 4180 2835 814 1279 1974 4200 3000 6271 1339 5326
9,2557 2093 479 4200 5854 3512 4877 123 531 5252 5076 6584 457 5469 4029 372 1539 4654 3602 1183
10,3236 2556 3040 4728 1554 414 457 6624 5532 5766 3713 3537 3765 4200 6584 5326 5469 6796 2803 2059
11,2556 2232 2628 6034 2324 355 3410 4291 86 2412 5337 3621 3607 1887 4180 531 3285 5489 5766 5076
12,242 2556 5037 457 262 3410 1974 2557 4544 5167 868 2653 3180 2110 5076 3236 2835 4572 4080 6709
13,5489 1458 2556 5644 2167 2917 6519 1245 4300 6133 1960 1373 2574 495 3666 132 5981 4480 1210 3180
14,5696 4704 4533 1062 5469 1696 5230 479 1373 4484 1596 2228 5081 531 5285 6182 6466 3059 2369 1294
15,1038 5553 1621 2904 3445 283 2628 2273 5489 596 2574 2556 1546 4200 5640 5648 4029 2080 4270 5022
16,4815 4709 459 5356 4200 479 2556 4864 4291 2110 1373 3236 6158 5323 6666 5460 5076 1418 3512 6624
17,2232 2329 536 457 1696 5323 1168 5981 5252 1497 2005 5407 1364 355 3436 2369 1467 3316 3167 4633
18,4533 5532 262 4200 6624 3236 531 372 2228 5167 5335 1418 956 3316 868 457 2152 5076 777 6464
19,495 5073 3269 4728 3373 54 4697 6454 1655 2110 5861 4709 4023 1373 2167 417 4977 2557 5532 457
20,6050 4592 6173 2167 3617 457 1403 1458 3208 6902 1912 1596 5252 6739 6647 2556 6033 788 3410 5081
21,1373 6034 2557 4691 2703 3666 3180 868 955 3607 966 5956 2574 596 4545 1458 6291 91 495 4709
22,3977 3607 1960 1210 132 3875 4351 4545 2557 3496 2188 5919 4312 814 355 4291 955 3236 1724 2077
23,3180 4709 6190 5407 5489 5236 5323 2556 2110 6125 4459 5981 6028 3607 3666 6165 6262 3526 4480 755
24,2556 1940 2917 2557 5394 3201 6472 4813 1182 536 5489 868 596 6018 2970 4720 2341 4231 271 1983
25,2110 4709 2556 5295 1294 3236 6005 4023 1339 6624 355 2369 3285 5469 3493 2080 868 3410 2527 4570
26,1651 3040 6561 4728 5861 868 1073 4220 417 6627 3269 955 3607 6018 5466 412 2557 4720 3930 2529
27,5723 1458 457 868 5766 966 1887 1402 2557 3666 6273 1651 6034 2167 6203 2808 596 2574 1958 4172
28,3516 3125 4180 536 1183 6624 479 4545 3460 2324 1143 4029 262 4554 814 3602 3436 1503 6635 6619
29,536 4709 5532 2556 5857 4351 1252 6098 2369 2093 1373 5323 2628 868 814 5640 5705 2574 86 5723
30,6050 3236 5252 1373 112 814 5489 6771 868 1696 1252 1339 1418 2438 5340 5469 372 3000 5167 4200
31,6532 2871 1143 3472 4970 4200 3441 6158 4291 2574 814 5489 3989 2632 5460 6684 236 4220 459 1901
32,2917 2628 242 3622 479 814 457 5854 2101 984 1940 515 596 459 6584 1015 5489 1373 868 2557
33,1983 2341 3180 2170 2628 3445 1818 372 3512 6624 5553 1373 3285 3236 868 3221 2195 5648 6497 1791
34,2556 6551 6810 2110 2216 2324 457 2703 4896 5671 5489 5046 3373 261 495 3666 5785 1038 3875 3044
35,2779 4720 4312 1329 4291 5167 6158 3966 5065 729 4484 5609 1183 6415 4848 3765 4625 662 2399 2152
36,6561 868 966 3602 414 729 4012 6551 2273 479 2628 3410 596 6213 4759 1655 2793 1257 1038 4313
37,2399 814 1329 2628 4720 640 2228 6930 355 5258 1539 4023 261 2557 1632 5269 5010 89 5323 3441
38,5854 2556 2024 1168 2228 2653 5167 2232 3602 956 3410 531 3236 5469 5326 4023 814 6635 1339 1418
39,5252 729 1418 536 1554 5469 4180 2228 4200 2152 4625 5169 6562 3236 4720 6196 2556 6271 2835 1974
40,3602 1700 2226 3962 2390 2399 3607 4045 4634 2472 92 1895 1183 3526 4796 340 1245 6301 6930 5919
41,3316 5252 3410 262 4532 1168 814 2556 200 1377 5340 5469 6338 1554 6219 2557 531 4796 504 6061
42,5394 2321 3010 1252 4877 1691 1930 4514 4637 1329 1539 2556 5814 5489 1544 640 4264 5343 2539 4351
43,4270 2167 5304 6730 1294 479 5469 1696 2101 1560 4514 3410 372 1791 2628 4195 4191 5532 6624 5076
44,6532 457 5369 2110 3588 3316 112 479 6771 1418 1554 2167 3604 2556 5167 1339 2356 814 2539 6050
45,3236 4312 3989 2632 6935 5469 3607 3142 5766 4925 5466 6018 4220 5258 2556 3460 5356 2677 5474 5553
46,2077 5532 6018 955 3602 918 6034 2628 6332 2776 5108 5369 86 5666 5710 4365 536 4685 1373 5490
47,3010 1691 3955 4608 4916 1135 5532 4270 865 4709 3913 6028 1252 982 1812 2955 2628 1307 5619 1220
48,4625 479 531 3512 1373 891 4613 2645 5532 1418 2628 262 2632 3702 4912 655 6771 6281 5723 2871
49,5766 6519 4634 4300 817 1960 1804 92 3666 6133 1210 2731 6378 2188 1252 132 6730 4023 868 1137
50,2093 536 479 3410 1373 5854 1339 814 868 6624 4195 2167 6377 4533 2557 4291 4023 5076 5950 6382
51,4200 4238 6377 4291 1983 457 5076 1702 355 1610 594 5466 86 531 6382 5854 6271 5252 955 123
52,2167 5167 6050 336 2645 1329 3410 457 1554 4195 1920 2024 479 2152 531 6316 2390 3236 2557 1377
