user_id,item_list
0,6018 2628 3285 3049 4351 1656 6411 5258 4312 1445 5965 1983 4200 3824 5064 5532 1252 1943 5961 5442
1,3300 6165 3142 3125 6810 4936 2329 5223 755 6730 3460 2907 5630 5489 1949 2818 403 5337 2295 1252
2,2557 1940 5323 4264 5640 2167 5532 1539 6165 2228 5223 4572 4813 5965 2448 5644 4480 4877 1252 5553
3,4161 2653 6739 1554 479 5326 262 5076 3713 5252 6033 187 6771 6050 3410 1974 1596 1418 5081 6902
4,4373 6684 5069 2152 4532 3512 5063 5356 4835 2472 4720 5460 2659 2255 5847 1073 2848 1736 2855 2632
5,4200 3410 1700 4720 6584 5469 3512 5069 5532 2779 6624 891 6651 1073 5442 3316 457 4220 2255 5063
6,3512 814 4200 4220 5258 3236 4720 4877 4532 4045 6158 3602 1494 236 4835 6330 3930 6584 1302 891
7,2574 596 3666 5489 283 2904 2093 5337 5723 6516 4231 1958 1791 3122 2167 2101 5532 290 6730 4172
8,3236 2835 372 4200 814 2556 531 3604 457 5532 2653 1279 4195 6645 2232 5326 1339 1418 4291 665
9,2557 4200 3410 372 457 479 2438 1339 814 3602 5076 2628 1602 868 4572 4291 5553 1294 1943 1373
10,531 4200 3236 479 200 729 6624 5469 4912 5076 3966 3316 1554 2556 3765 457 3537 4625 1183 5460
11,2556 5532 1252 1940 4291 1294 355 5489 3410 814 457 6730 5076 2329 4709 3236 4023 1602 2232 4032
12,2556 868 531 3410 242 4572 2557 814 1418 5326 4544 3236 5076 372 2539 5469 2653 5167 262 3604
13,5489 1373 3666 2110 1252 1960 4480 2456 2574 314 6165 4300 5337 1458 5981 2093 2188 5323 1245 6133
14,5696 3617 5469 6739 1596 6182 5081 5285 2228 814 531 729 2167 2556 4180 955 2369 4987 479 1279
15,1252 2455 283 1958 5489 4270 5644 2093 2101 2321 1940 5022 2917 1887 5723 4809 6472 1791 5477 2574
16,4291 4877 2556 3602 5076 4200 479 6624 2167 4815 3236 3441 1294 5532 4570 3256 2557 2369 236 4342
17,2329 1168 5323 3066 1294 4180 536 4103 1602 5532 4545 2527 2167 4147 2557 434 1560 1339 657 6382
18,5469 6624 5532 372 457 2369 1339 2228 4200 3236 868 955 4796 1294 6382 536 4291 5076 5252 4877
19,6561 5073 495 4728 54 2110 6454 3269 4697 601 1655 5861 3373 417 227 3819 5766 4981 1373 4977
20,6173 3617 1554 4704 6647 2167 2539 6739 3410 1458 5326 5081 2557 1596 6033 6050 788 531 1373 1339
21,1373 2574 596 2110 2557 1252 2093 3607 1458 2167 5532 5231 283 91 4709 6730 5640 1602 4634 6519
22,1960 1210 4300 132 4291 2188 5919 355 6284 51 3607 2557 955 3602 3977 4877 1458 236 4180 1905
23,3180 6190 5236 3526 1930 6125 2194 4480 3977 5981 4023 5122 5203 4709 5407 6165 5323 1373 3418 3300
24,4231 596 5723 3666 2574 5489 6472 5394 6730 1602 1182 4813 2110 2917 5965 1887 1696 3436 4023 1983
25,2556 457 2228 6624 4709 1294 2399 5295 2110 5469 1168 868 4533 1339 955 3410 2167 372 4291 479
26,412 3040 5498 6532 3472 1651 5069 5466 4220 1779 2555 4532 2960 1494 4720 4312 5063 4835 4342 247
27,2093 2167 3666 1252 596 2110 4023 6730 2574 457 283 4231 2557 4709 5337 1791 4572 3436 1602 5965
28,355 6624 479 3325 3410 3256 3236 6330 814 891 5469 5076 4877 200 4500 4570 5460 372 1963 3602
29,4709 2556 1373 2167 1252 2628 955 5323 596 2329 5640 5981 3666 6730 536 2110 4877 1339 5965 6516
30,814 372 4200 3236 5252 6050 5469 1339 1602 2438 1294 6771 6624 4291 3373 2835 5340 200 1418 4570
31,5258 4342 3930 5063 5466 5690 236 4220 4484 4200 4720 3989 6316 1779 4532 5069 1302 6054 247 6158
32,457 2557 1038 1294 1940 2917 1373 1602 3436 5640 4709 3666 2093 91 355 2329 2574 3506 2438 6730
33,1983 2167 5532 2080 1252 1373 1968 372 814 2628 5489 6730 5965 1339 3285 2341 5022 4264 3236 6516
34,2574 596 3666 5965 868 4231 6810 6034 2226 227 6516 551 3875 2324 2110 4813 5489 3286 2252 3824
35,5167 3316 4625 5252 729 201 6330 5340 1554 5662 262 4029 2779 3966 3512 6158 1920 4180 3537 2152
36,868 6561 4291 3602 2167 1339 5469 3236 3373 4200 1554 2273 5252 5532 5662 966 6624 1252 5340 3316
37,2399 2628 3602 1329 6930 5553 640 4351 4045 4570 236 3506 1539 1940 355 2167 5640 123 5532 5064
38,3410 531 2232 5326 457 2653 6635 5469 868 4195 2024 5662 5167 3604 6624 1418 1974 6050 372 2167
39,5252 1554 2152 3316 428 4625 5469 4200 2024 6796 3966 3236 814 729 6562 2556 2059 5941 1974 1920
40,814 2390 1183 5069 3602 3410 4291 6330 6584 4029 3441 2779 3236 5356 5258 729 531 4815 236 5469
41,5167 1418 5469 6624 5252 200 3966 262 1974 3316 4625 6584 4796 729 6330 5340 4373 1554 4532 2255
42,640 5965 4351 2321 3824 5394 559 3621 1983 1839 1544 2115 5830 1373 1560 6472 5640 3010 1252 5723
43,5532 2167 457 479 868 1940 4709 5076 4270 4023 596 2628 6730 2093 3410 2539 2438 4351 6050 5723
44,531 479 1554 4200 6050 814 5326 2539 3236 5076 457 5252 5469 1418 2024 5167 6771 2653 372 5340
45,4312 5369 4220 3989 6018 4532 6316 2555 1073 2255 4291 999 6532 4925 6180 4835 2445 44 1302 6584
46,86 4545 3135 4264 4533 2776 4685 4691 5666 3777 5710 4365 5258 2557 6018 5965 5532 1373 2587 4720
47,3349 4916 917 2204 865 1135 3955 1812 4099 1220 5414 1307 1691 982 4608 6784 6028 1252 6616 6730
48,4625 1418 5167 1051 531 1800 3410 1267 729 5941 3702 2645 6431 262 5076 1974 4291 2059 5460 5340
49,1960 4300 6519 92 169 1210 6133 817 2731 132 2188 5919 1373 4023 3666 596 1940 2556 1252 2456
50,2556 1294 4533 1339 2167 5532 2557 868 5469 3410 1168 6624 4709 1373 536 5950 596 6382 4572 4291
51,4291 4877 3410 479 355 372 1940 2399 457 2628 4045 1339 5076 236 955 868 6158 86 1602 5553
52,1418 5167 5252 1554 2539 262 6330 3713 3966 6050 457 3316 5469 2645 336 2653 200 3512 4200 5065
53,4291 479 355 3316 1294 4200 86 2167 814 5076 5326 5532 4877 531 2557 4554 5252 5961 3602 3256
54,4291 4877 4570 4045 3602 5076 6158 2556 2628 5258 4200 1700 4720 6624 1294 5553 457 1503 3410 4572
55,6516 1286 6013 3666 2556 868 918 2808 3326 6329 1138 596 5812 5965 2397 832 1402 2574 5022 3105
56,201 3410 531 6666 5356 479 4029 3256 200 814 6624 4114 3316 3325 6363 2472 3537 4291 3441 6158
57,531 5076 6330 5252 3316 6584 4045 2556 1183 4570 200 4572 1418 3512 5532 4796 4220 5064 1073 5469
58,84 5063 222 4532 6684 5466 1574 6532 4312 3873 563 1779 5694 2848 4720 4835 502 2555 5241 5369
59,2556 1373 3819 5532 2557 5965 193 6173 3373 1294 3666 5696 5766 4200 4592 5469 4533 2397 1062 955
60,2228 4533 955 4709 355 5323 86 536 4877 4291 868 2886 4103 2556 814 2628 5609 2329 2077 1339
61,2228 2628 955 5532 1294 4533 2557 2399 536 4877 4200 6158 5258 3602 5965 2556 2438 1373 5469 868
62,2779 2152 4220 3512 2960 1302 5069 5460 2848 4532 4484 1073 5466 502 2251 1494 2555 4245 2803 1574
63,3410 814 2556 4200 4570 4180 200 4291 1106 5076 1183 5469 6771 5340 6584 372 5167 6330 1294 2369
64,5532 4572 2628 814 1602 5064 4877 6018 4220 5442 1610 6293 4291 3930 1503 5069 3410 2556 1830 1094
65,4351 2628 5553 6930 1539 261 1503 5142 2556 1968 5609 2080 2228 3285 5064 3506 2329 291 6729 1621
66,6561 3410 355 6584 3040 479 531 3236 4200 4180 1183 3316 3602 2556 5073 5252 6624 1651 200 372
67,5122 625 5051 5785 4169 3310 1851 2574 2238 5830 101 5592 2986 6291 5665 797 6070 1328 5922 4049
68,1171 2628 4877 2399 3602 4570 3180 4572 4291 2228 3875 1399 5532 1403 355 4709 5640 5295 4351 1940
69,1171 1399 4534 2194 1131 5863 5785 3180 2226 5410 1373 6810 4486 2397 3526 3300 5329 5407 608 2703
70,2779 3512 3989 3410 412 5460 5069 1073 891 3236 5063 5690 4342 2555 5258 5356 4200 2632 5466 4835
71,5469 372 4533 4796 814 2255 1168 6584 2369 4291 200 1183 891 4342 4200 531 955 1015 5065 355
72,2228 5407 955 536 2556 868 3551 2077 3295 596 4264 2628 495 3977 2167 5710 1940 5532 6811 4291
73,242 5037 1940 2556 2167 5469 1217 5532 4709 5323 1294 457 4023 2557 1052 6073 1373 5076 5098 2329
74,5442 4291 1373 2438 2167 2557 2628 868 236 5532 4877 3602 1602 6293 6158 3607 5965 4045 4342 814
75,5696 6647 6033 6739 966 6466 6182 6561 868 5407 5285 2703 2652 2167 536 2050 2369 2556 1373 5861
76,531 3316 3410 5252 814 3236 729 355 5469 6584 200 1554 4220 4373 2167 2556 2628 1073 4912 457
77,4613 4029 125 5896 891 5847 5356 871 3537 2183 4625 6614 4815 5461 459 4561 3441 267 6158 4640
78,2527 4247 1000 4103 2050 4238 6377 6271 3777 4365 4545 4408 2886 5023 5335 5230 777 495 2405 2556
79,6624 479 4634 2556 1960 5469 814 5326 355 6133 132 4570 531 5252 3316 1458 1106 5766 1294 2539
80,2228 1294 2369 4032 479 4103 6624 2556 4545 291 3256 5326 3622 5252 955 457 1339 3236 6619 4045
81,2167 2556 457 814 3236 1602 1696 2438 4200 5252 6624 5469 5326 6584 4291 531 1339 1294 4045 200
82,6935 3516 4291 3125 4312 6810 4200 2295 2907 3460 6018 2167 2369 5369 1949 6158 3602 403 5532 4877
83,3410 479 531 3373 3316 6584 6050 200 2835 1339 5167 372 6330 2539 1418 3236 868 5252 4313 1554
84,3621 2628 1373 3666 2557 2574 4780 5489 1252 6730 1546 2675 4813 1644 4231 1539 2556 5022 2110 2438
85,5469 3236 479 4200 814 3316 5167 6584 1554 200 3512 5340 5326 1418 2653 5076 4291 4180 6771 868
86,3512 1418 5167 6532 4200 4220 5326 3588 5252 4373 262 2152 200 531 3989 814 5469 1494 3236 5069
87,1940 2556 1294 3236 4533 2167 6624 814 5532 457 4103 4291 372 4023 868 2369 1373 4200 2557 3604
88,814 355 5609 2628 2167 2557 5532 4200 4045 5076 3506 6624 1503 3537 4570 3410 1539 891 1252 4572
89,5965 2167 5489 3666 2557 1373 1602 2093 5723 91 1983 1252 6730 4572 6073 3824 4351 2438 2110 1038
90,2110 6561 1373 3666 2574 283 5489 2093 4172 1958 1328 2397 2986 6730 6516 5830 2167 2228 6627 5723
91,3441 459 4291 4633 814 3410 4833 4570 479 3316 6624 6158 3236 2148 6330 201 5326 6771 5532 4029
92,6330 4373 5356 531 3410 5065 814 3236 1418 2472 5167 4200 200 2803 479 4045 222 1554 372 3966
93,1930 4709 6411 1940 1252 1131 4023 5122 955 1373 283 2110 5323 5961 2556 4172 92 1960 3962 1168
94,3410 479 457 3236 6584 6050 5076 355 4032 6624 868 4342 4200 5532 5065 6158 5252 3441 4815 6645
95,2556 2167 2557 5532 2438 5965 2093 4572 3621 6561 1252 4264 2628 3824 4855 2115 596 2110 1339 3666
96,1940 5323 2509 2329 1467 4545 4500 2228 355 2369 5852 755 6136 291 1294 1217 5644 1963 6624 5547
97,6472 559 2110 2228 1940 5323 1038 2556 4023 1696 5644 2329 5337 3666 4480 5223 1958 2557 3436 6730
98,5064 5532 4291 3824 5965 6516 4877 1503 1696 2167 814 1943 5442 1656 4312 3285 3656 4351 2399 236
99,814 479 3236 4200 355 3316 3602 5532 457 6158 5326 4045 5076 6330 868 1183 2835 2539 4554 3604
100,1183 5549 891 4029 5356 6330 1106 5241 4815 4342 4045 6666 3410 814 5502 4751 2591 4217 4200 3740
101,6624 457 4533 2167 814 3316 5326 868 4103 5532 4200 6050 2557 3604 531 86 3707 5076 3373 536
