user_id,item_list
0,5532 3977 2628 868 2399 1252 4877 3607 1458 2228 5258 596 4312 457 4572 5407 1940 814 5961 4200
1,5323 4480 6935 6810 5223 2329 2509 6873 5630 2628 3125 4936 6730 1373 2556 4813 5489 1217 2228 5640
2,2557 5323 4264 2329 2167 6165 2110 5640 1252 2228 4480 596 868 3285 5532 5369 4877 3666 4572 5489
3,1554 3713 1458 2556 5252 5076 531 3410 6771 2653 2844 1418 5326 2167 5532 336 868 729 1974 262
4,3512 4373 2167 4484 5069 4200 3410 4312 5356 4291 6684 222 6532 5460 2632 4532 5690 5063 2472 531
5,3410 5532 4200 3512 6624 5469 1700 5442 457 3316 4342 5369 5167 1183 4484 5460 1418 891 1294 729
6,2152 4291 479 4877 3236 2779 2167 412 3602 4720 5076 5466 236 3930 5460 5167 6330 891 6624 6158
7,1373 596 4270 2167 2904 2917 5489 5532 283 5337 6730 4572 868 4200 4231 4351 3666 2080 3607 1958
8,2556 3410 4533 3236 5532 372 531 457 5167 814 4200 536 2835 1339 6645 1418 5326 2653 3604 3373
9,2557 4200 479 3602 4291 4351 457 372 5076 868 531 1373 355 6584 5252 1339 5553 1294 200 1602
10,2556 479 3236 4200 457 6624 1554 5469 262 3316 5326 4877 3512 3713 200 729 4625 3607 4342 6330
11,2556 3410 4291 1373 814 457 1252 355 1940 5076 3236 5489 6624 1294 3285 6730 5469 4200 1503 4023
12,2556 457 5532 3410 868 262 2557 3236 5037 5469 372 531 5167 2835 3373 1339 3607 2653 4572 5076
13,2556 4023 1373 5489 2167 1458 283 2557 3666 596 2574 2110 1960 1339 4300 92 2917 4172 2329 6133
14,5469 1373 2228 479 4720 814 1294 2556 1339 1696 531 2167 4592 2369 955 5696 372 1062 6584 2232
15,1983 283 5489 2556 1656 4270 2628 2101 5553 4572 596 2917 1940 2904 2080 4023 2455 5640 2093 91
16,4291 814 4709 3410 5609 4570 4029 4877 2628 5356 5323 5076 1700 459 5460 2556 1373 3236 6624 3602
17,1294 2329 2167 5323 1339 3410 5532 1168 2369 5326 5252 4291 2557 4103 86 1696 4180 657 814 3316
18,4533 5532 3236 6624 457 4200 262 868 372 531 3316 1339 1373 1418 5076 5326 2232 2228 1940 4291
19,6561 5073 4728 495 1373 2167 2557 6627 5532 54 1655 3373 4709 1339 4697 6454 457 1696 4023 596
20,2167 3410 1458 1554 6050 814 1373 3236 4200 2557 4572 3373 531 1294 5469 5340 6173 2835 4704 3617
21,1373 2557 868 3607 4709 2167 2574 1252 1458 596 5532 5640 6730 4231 1602 2228 4291 283 955 91
22,3607 4291 2557 4634 1960 355 1210 4877 132 3977 955 3236 868 1940 2167 4720 4264 4312 2188 1373
23,4709 5323 3180 1373 2556 5981 5407 6165 6190 3977 4480 6810 2005 3607 4813 5961 3666 2110 955 1458
24,2556 2557 1940 5489 6472 596 2917 6730 5337 5723 5394 868 1602 3666 4231 457 2628 4813 2110 2574
25,2556 4709 4023 3410 1294 2110 479 6624 4291 3236 1339 5469 2167 4200 868 5295 4570 4877 355 4533
26,868 3040 1651 4720 412 6561 2557 3989 4220 6158 6018 3607 955 5069 4484 1073 5498 6532 2152 5356
27,2167 2556 3666 457 1458 868 2574 2110 1252 4572 2557 596 5766 3436 6730 1602 4231 1339 5744 283
28,4180 479 814 3410 355 3602 6624 4554 536 3236 2557 3256 1373 6330 2399 5460 6377 4570 5640 1339
29,2556 4709 1373 536 4023 2628 4877 1252 868 814 2329 1339 2369 5323 4572 5640 1294 86 1168 1602
30,2556 479 1373 2539 3236 814 5252 6050 5469 4200 1339 1418 372 6771 6624 5340 5167 2438 1696 3607
31,6158 5069 236 4291 4200 5063 3989 2632 4220 5258 3441 814 2871 3930 412 3512 3410 5064 1779 247
32,5076 457 2917 814 479 4572 2557 1940 4291 1294 1373 6624 5489 4877 868 5640 2329 91 5326 1602
33,1983 6624 868 1373 3236 2167 2080 814 3410 5553 372 479 5532 1339 3607 4312 1458 457 3180 2628
34,5532 2557 457 5489 6810 3666 2110 4572 2397 2226 596 1339 2574 2703 1940 3373 2628 1038 2438 227
35,6158 2779 5460 1183 4484 6330 3512 5167 3966 729 4625 3236 201 4200 5609 4312 5252 2152 3316 4877
36,868 2557 5258 4291 2167 6561 966 5532 729 4200 4351 4572 1339 3236 1940 4264 1252 2110 5469 5252
37,2399 2628 3410 6624 5258 2167 5553 3236 1403 355 4570 5532 1329 4720 3506 457 479 1339 1294 4351
38,3410 2232 5469 2228 457 2653 3236 531 2024 6624 868 814 6635 5326 5167 2167 1418 4709 3602 5532
39,5252 3236 4200 5469 814 2556 729 4625 1554 3316 2152 536 3966 868 372 1974 4180 4291 4720 428
40,3602 814 3410 1458 4342 1700 4570 2226 2390 4291 1183 6018 4634 3236 2556 355 4029 1960 2779 3441
41,4200 5252 5469 2152 814 2556 531 1418 200 262 3316 6584 1168 2557 4796 4373 6219 2835 6330 6382
42,3602 2556 3201 1373 2321 5394 5965 4231 1252 640 4351 3010 4572 2448 2093 814 6018 1329 5489 5064
43,479 2167 3410 4533 5532 868 1252 4200 5076 4291 1940 6730 1696 4570 596 355 2093 5252 4045 4270
44,479 457 814 6771 3316 3236 2556 5369 1418 4200 4835 4291 1554 2167 1339 3512 5076 1183 2110 2557
45,4312 4877 5466 4291 4342 2556 4220 5069 6018 4200 3989 236 868 5063 6684 412 2557 3236 5553 5356
46,5532 2369 5407 4877 2557 86 6018 1373 2628 4533 5258 868 4264 3602 1940 5710 2776 3410 5666 457
47,5532 4608 4709 1691 2628 1252 4572 2556 3055 4916 1135 5323 5489 982 1503 2557 2329 6028 1373 3441
48,531 4625 1418 1554 5167 891 262 3512 6771 2645 1373 5340 4200 6330 3316 3966 4291 428 2024 2059
49,2556 1960 6519 4300 92 1940 1373 6133 4023 1210 1245 3666 2731 132 1252 2188 6730 1651 479 5919
50,3410 2557 6624 1373 2167 5469 814 4291 4200 4533 4709 1339 868 536 5532 5076 3666 5252 4023 4572
51,2556 6624 1294 4877 4200 355 4533 2557 5076 457 1940 86 5252 1339 3316 868 6382 2628 955 4572
52,531 3236 457 4877 4200 1418 6050 5252 5167 5469 868 1554 200 5340 3316 372 5065 6330 3966 4373
53,457 4200 479 3410 4291 868 2167 814 372 4554 5532 2110 3666 355 2228 1963 4877 5469 1940 1339
54,2556 3410 2399 4200 6624 4570 4291 4045 457 5252 3441 5076 4877 2093 2628 6158 1373 4572 1700 5064
55,2556 1940 457 495 2167 3373 2110 2228 4572 5532 3666 2557 6516 4023 4877 2399 2324 4012 3819 596
56,5460 814 479 4291 3236 4373 4029 201 2556 4815 3256 355 6624 1418 3316 5252 6666 1106 2369 5167
57,3410 5076 2556 4291 4045 2779 6050 1183 5326 5252 531 6330 4572 1602 5469 4570 5064 1554 3316 200
58,4220 4720 4312 412 84 6316 5063 4373 5369 6532 6330 1700 5356 6684 4484 236 4532 5532 6018 2848
