user_id,item_list
0,2530 2392 4486 3487 2699 2709 3049 6411 4349 2108 5532 828 3977 5065 5723 1585 6098 6030 1211 6022
1,6810 6935 2927 6530 812 3460 1339 3300 1445 3236 372 2628 6357 4813 1958 3506 4220 6155 355 6213
2,4264 1127 5390 495 5369 5723 2324 2557 5644 6054 626 4906 5069 1884 1700 2534 2024 4527 2226 5064
3,6329 4161 336 5543 729 5812 2556 1458 862 6846 313 6647 3713 788 3410 1407 6330 356 5277 2455
4,2808 4855 6846 1638 5513 6802 2602 2167 4654 5369 4373 1494 3537 2829 3512 4220 1905 4835 1901 5225
5,5442 6626 1073 424 5369 2779 5532 4484 1494 261 2829 3602 1029 3316 1143 3506 2505 6621 972 262
6,1373 2473 6431 2835 4720 5231 4399 4340 999 955 6684 5258 2275 2602 5707 6651 3873 2952 5690 236
7,3666 6771 2831 2873 3646 942 6190 4296 4640 1912 4342 2472 4544 657 2904 1920 3316 2720 1418 3180
8,1192 4533 536 5532 1974 5252 1911 1013 3945 5236 6642 3453 6125 3918 115 4354 5433 892 3820 240
9,6684 4654 3325 2152 2556 650 5506 5387 5644 4029 816 4298 6229 2824 6013 5407 6497 3516 5744 4080
10,2251 4728 6050 3713 2221 3040 6532 6626 2148 5723 5252 4635 3808 5069 4613 1554 6492 6025 6054 2425
11,5231 1256 3824 1488 6802 2397 2871 5766 5956 1887 1063 2412 2917 4195 5098 5337 4848 2560 1503 6212
12,4313 4544 2737 3945 4723 4744 3180 4480 5326 1087 3506 3441 4032 3311 241 5362 862 447 5269 624
13,6329 5812 2456 2167 314 2232 1696 495 3180 6896 2917 2252 2099 4012 132 2538 1198 1210 6133 6073
14,2977 828 6630 1696 1364 275 3059 6466 2414 5108 5600 862 1596 1062 4484 835 3637 4405 4545 2088
15,1656 2273 1222 4429 3512 2399 531 4970 3955 2101 3285 6532 281 2005 2232 4029 5572 5755 1691 891
