user_id,item_list
0,3977 1458 3607 1252 5532 6190 457 2628 2399 5857 5961 4351 5766 1983 5258 868 3487 3526 2228 6098
1,3300 6810 4480 3970 4936 5223 2295 2329 2226 2228 2907 2509 1467 3460 1217 5489 5630 1949 3180 403
2,5323 2557 5640 6165 4480 4351 596 2005 4877 868 2110 4264 2167 3285 1656 1403 3602 5532 2228 5337
3,2167 5076 6771 5532 2835 1554 5252 1339 3373 5340 5326 1940 1974 3410 3713 5854 2232 2653 1418 262
4,3512 4373 4220 2167 5069 5466 2472 4532 6684 4312 4342 1073 3966 2632 2803 4835 236 729 5369 3914
5,3410 5532 3512 5466 4200 1700 1183 891 4484 1418 5442 2438 1073 2628 729 2472 5369 4912 3316 4532
6,4200 5369 3602 6532 3236 5553 4220 44 3930 4045 5064 5460 5356 1329 1302 6316 1554 4625 6158 1610
7,1252 6624 2167 4351 596 4200 868 1458 3236 3607 5532 372 1983 4231 1373 2080 5766 6516 1958 5640
8,5469 372 5252 3236 6584 6382 1339 2835 814 6645 4533 4720 3604 4180 5466 4200 6018 531 2556 594
9,2557 4200 814 479 372 5076 3602 4351 5553 200 955 4291 536 6584 1602 596 5326 868 2628 2080
10,3410 3236 531 4200 6624 814 2556 200 1554 5167 4625 5326 729 868 5469 5169 1051 457 1920 3316
11,2556 3410 91 355 4291 6635 2228 3666 2412 868 4877 1656 3285 4103 1106 1252 2329 4780 1183 3325
12,2556 5532 4313 5469 2835 2232 5854 1974 5076 3373 4572 262 531 1339 3410 5340 1373 2539 5167 1294
13,1458 5489 1373 3666 2556 4634 2574 1960 2110 4300 6133 4480 1245 1210 6165 5981 132 5919 2904 495
14,1339 2228 5469 1294 531 372 6330 3819 6645 3604 955 236 4195 193 5956 2835 6382 4572 2844 5407
15,5553 1038 6624 596 2628 4841 283 2455 4270 2080 4264 2556 1943 1958 1656 91 2093 6516 6453 5022
16,4291 6624 4570 479 1183 3236 5609 5076 4877 4709 4200 5323 3602 5469 2779 3256 2628 2556 1294 5460
