user_id,item_list
0,3875 5532 3285 3607 1252 868 3049 1399 6190 2228 596 1458 3305 4351 2628 5490 4813 2438 2399 1339
1,4709 755 5630 1467 3516 2509 5223 6935 4813 3142 3460 4936 2396 2231 5644 329 2824 6810 1925 2907
2,5323 5981 6165 2228 5640 4480 2557 2005 2110 1467 4264 4813 5644 283 5489 5337 1252 5630 640 3666
3,1062 3713 1407 6846 4161 1554 6739 4080 6647 862 2653 6771 4251 2873 2356 6329 1458 4347 5167 1940
4,563 1494 3930 5442 871 4338 2472 4245 346 3914 6316 4373 1766 2167 5498 5069 3411 1638 5460 2829
5,5532 5369 4484 3512 1602 3410 6018 6316 6158 6532 247 4532 84 4604 1610 5498 1073 6293 6353 2555
6,412 4200 2499 5498 2557 3236 44 1302 3602 999 4720 3472 3588 3714 6338 2602 5553 4180 4925 3726
7,2080 4270 596 2917 1958 601 2455 4351 1791 5337 4231 868 283 6730 3666 4200 290 5022 91 5489
8,2556 1374 6624 3236 372 531 4720 536 4533 457 3316 2835 1339 200 5532 4200 596 814 2232 1294
9,2557 4200 3602 479 5532 4351 868 355 6584 372 5553 4714 3989 2779 2399 1373 531 200 2152 3714
10,2556 3236 457 4200 479 3040 200 5469 5460 6624 3713 1339 5766 4728 5326 3373 4231 531 6158 414
11,2556 4291 3285 4103 1940 2412 5532 2557 1445 5766 5407 3410 6730 3325 1837 457 3496 227 91 1256
12,2556 262 4544 1912 457 868 1791 3373 2844 3607 4572 6034 1641 1339 2653 3180 2110 2412 2835 5167
13,2556 5644 1038 596 1458 5489 3044 6165 5981 2005 2557 2231 1522 5324 1373 2329 3666 5630 2574 4480
14,3617 1062 3410 5696 1364 1596 1572 5469 5285 4484 1168 2527 5081 6704 2559 2889 4291 2405 4405 5069
15,1038 4351 2273 1656 2101 2080 2216 4270 3445 2455 2904 4809 2574 2970 5022 283 5324 1469 1501 3356
16,5609 459 5356 4029 1488 4815 4561 5460 4291 4570 5879 6666 5323 4864 3256 2871 5010 1159 1968 6353
17,5323 1168 4500 1467 2005 2818 5098 457 1452 612 1696 381 3113 4773 2886 2228 5452 4813 1962 414
18,4533 262 3236 6624 868 531 5532 4200 372 814 1339 1418 3373 2232 3316 955 6584 2835 596 5167
19,6627 495 3040 5073 54 6454 4728 4697 5861 3269 3373 4023 1373 1696 601 2557 4981 1655 1339 4709
20,6050 1458 2167 5696 6173 4704 2356 4161 4833 6739 1298 6378 3602 624 3373 4783 6033 3617 1796 6902
21,6291 3239 1373 2556 918 6627 4691 2545 5489 5051 5748 290 3310 596 6034 5665 3752 2088 2044 460
22,5825 1458 608 2077 3977 5710 1245 1210 3607 4264 132 1890 3711 3462 2188 5666 6369 2731 5919 6485
23,2110 5407 2556 2226 4459 3607 5329 2397 5961 4264 2088 227 1940 596 6262 1339 3218 4789 6190 5490
24,1038 4813 2557 6472 2556 283 5337 1328 596 5723 4478 1940 1568 1887 2110 3310 4794 2115 2438 1791
25,2110 4709 4023 5295 814 1567 2005 5407 5981 1339 2329 4570 2080 2556 5223 2628 755 1467 6165 868
26,3040 5861 1651 815 4720 5734 412 5738 2555 3846 1112 495 58 2275 2670 4425 5436 5390 2859 6627
27,2167 2110 1458 5766 1651 596 457 2574 5961 2397 3666 5490 2557 6034 227 6516 966 1791 3436 3373
28,3516 4238 4180 1294 6619 5710 1168 4269 2772 2005 4247 536 2050 5950 4103 2886 2880 3807 3460 5666
29,2556 536 5407 4709 1168 1373 4023 2628 4813 3977 4264 868 5323 3436 596 5640 1339 123 2574 3819
30,2167 6050 3410 868 5252 4313 1339 3236 187 6771 814 2653 372 5167 5469 4833 5340 2438 4633 3666
31,4312 3472 4925 662 3441 999 2960 3930 5069 2871 2632 3989 3588 3632 459 6158 5489 6684 5168 3203
32,1252 2917 5532 2101 2252 4633 4172 459 1940 596 4833 4864 4355 3666 1571 5117 2455 91 457 5640
33,2341 4351 1818 1983 3445 4483 2195 1464 4264 596 2556 3221 2456 3551 1295 5390 3512 1501 5022 601
34,3607 2216 2397 2703 2556 5671 2154 2574 4450 5957 227 4813 5489 6810 1038 2226 4896 1373 495 2115
35,2779 4912 4484 4312 5460 6158 4877 3765 729 3602 201 6330 1183 2803 5609 1329 5847 236 3989 543
36,868 4351 6730 4264 4877 596 4572 1940 966 227 2273 1445 1038 1469 1339 2167 54 4200 5258 640
37,2399 4841 2628 4200 2080 640 5323 4877 5640 1968 236 4570 3602 4023 1469 1739 5553 2228 6624 3506
38,479 2232 4533 2228 2653 6635 5469 868 2024 1373 3410 6624 4570 3236 777 5323 2873 5326 5167 5950
39,729 1214 5167 5252 262 3316 536 4180 4554 3966 3427 3244 4625 2203 1554 5469 6313 6771 2848 3604
40,4634 817 1245 2390 6519 1960 1458 3385 169 4300 1143 1098 6378 314 1691 5879 6415 3602 2071 1226
41,1418 5252 6219 6497 4200 4625 200 6142 5340 3966 1480 262 4373 1097 3714 4796 5469 1302 1554 3316
42,5394 2321 3676 640 5723 224 2675 1691 1839 3602 955 4514 3962 1252 4231 5965 6293 1403 439 5830
43,6730 4270 457 479 2880 1560 1940 1739 1696 6624 596 5407 2167 2574 4200 868 2101 6821 3410 601
44,457 1418 479 1339 6532 6771 868 2110 531 5469 2557 6330 1940 5326 729 3604 5252 3236 1183 2228
45,5474 5766 2295 5065 3989 3142 2677 5295 5436 1374 2529 550 4057 4675 6057 2550 5203 344 2199 4759
46,5666 4365 2369 2796 4685 5710 2628 5532 2863 2556 3135 3711 2415 2587 3602 86 2240 640 6500 2776
47,1691 1135 4608 4916 4709 3955 2085 5532 6028 5323 982 1089 4480 865 2005 2955 4099 1812 6165 5981
48,5532 868 5723 2110 1418 2653 531 2438 2645 6330 3702 5167 2574 1252 4625 3666 2024 3512 5323 6771
49,5766 6519 1960 92 4300 1210 1245 6133 6378 2188 2731 132 5919 4783 2556 935 5489 479 6810 6236
50,4533 536 6377 3410 5854 5469 868 5950 1294 4180 1339 3316 1168 2405 5407 2835 291 6382 2772 6624
51,2557 1339 355 4570 3714 1097 3057 381 2232 5252 6142 1294 3707 6382 6771 531 6219 4777 6126 5230
52,3410 4200 1329 457 6050 5326 5167 372 5065 4291 2093 1373 5640 3373 4045 2835 4544 4351 868 5469
53,6624 479 5961 868 2110 3666 625 1339 5640 4572 5490 372 2080 3607 3373 4544 2456 4231 955 6516
54,2556 6624 5609 4045 4570 1183 596 6142 2080 4200 3410 4291 4572 3373 6219 6651 3441 457 3607 4231
55,495 6627 2556 816 4012 2110 4789 457 3819 3373 6329 6013 5812 832 1402 1651 918 3040 3326 3269
56,3410 201 4373 6666 2848 4029 4279 1476 5847 563 2470 4291 2183 2472 6363 814 3075 479 502 3256
57,647 1269 1090 1026 5921 2005 6409 6504 3122 2356 2509 2693 4650 2686 1571 3066 5242 379 5640 4109
58,4338 5738 2703 2960 4560 1687 5498 6882 4356 1804 4035 6022 3512 5690 592 5122 6054 4425 773 5675
59,868 5965 193 2556 5532 4545 3607 4533 2703 1373 5785 2199 5407 2050 495 3208 6173 4704 2886 6034
60,2228 4709 814 5323 2369 4180 750 479 1403 2556 3057 2772 355 1339 5469 4685 4554 3875 4291 4777
61,4773 1535 2556 1962 868 5702 3819 1538 4293 843 4826 4486 2425 6019 3767 5830 684 5706 3396 1568
62,4722 2960 2859 2555 4749 1687 6300 2275 1783 4925 351 2055 2606 6795 2821 1649 265 1112 4356 1658
