user_id,item_list
0,2194 1399 5407 868 6411 2228 2530 4486 5532 2628 1131 4877 5825 814 5961 955 457 2399 4312 4200
1,3300 6935 3125 6810 4480 2005 4936 3460 1949 2907 403 5223 2329 2295 5630 6457 2556 2509 5640 6155
2,2557 4023 4877 5323 5640 4264 2167 5532 5258 6165 5981 5390 6018 1656 4480 3602 4720 5553 1539 2228
3,4592 5696 4161 6739 6033 3410 5252 6902 531 788 1596 868 5081 5285 862 6182 5076 3373 1418 6466
4,3512 4373 5069 5460 814 84 2472 6684 5356 3410 4532 3930 5466 6330 5063 4342 4312 4291 3966 3765
5,3410 814 479 3512 4200 5532 1418 891 6624 4912 3316 262 729 457 1073 2557 5063 236 372 5469
6,3236 2779 2556 412 3602 1302 5460 5252 4312 3989 5063 3930 4625 4342 4912 236 1554 84 563 2059
7,1373 2167 5489 3666 4572 2904 1252 6730 4200 5337 2574 868 814 5425 2110 596 2970 3236 457 6624
8,479 3236 2556 372 531 814 4200 1418 5326 2835 1339 457 2653 4533 729 3604 1974 5065 4625 3512
9,2557 479 4200 6624 3602 531 5076 457 5252 355 372 5469 6584 1373 868 200 5167 3316 262 2628
10,2556 3236 1554 4625 4200 3316 6624 457 5460 2167 5469 2557 729 891 1974 428 5532 6584 1051 2059
11,2556 3410 4291 814 3236 5532 457 5076 355 3602 6330 5340 4313 1183 2412 5489 1339 3285 1940 5469
12,457 479 2556 3410 868 5167 531 5469 2835 5076 262 2557 2653 1974 1418 242 3236 5037 5326 3316
13,2556 4023 5489 1373 3666 2574 4634 2557 1210 2167 1960 1245 6133 4300 4572 5919 132 1458 5766 457
14,5696 4704 5469 955 6033 6647 2228 479 1596 5285 5081 2556 788 536 814 531 1373 1294 1298 6584
15,2628 5489 1656 2093 5258 6453 2556 1252 3666 2167 2574 2273 412 5498 5723 4048 5466 4023 2555 5532
16,4291 479 3236 5076 5469 2556 6624 4200 372 6158 4815 5460 1373 3512 3602 1183 4709 4045 6584 2557
17,3410 1294 2329 2369 3316 5323 5252 3236 4291 2167 4180 6624 1339 5532 814 86 2557 531 4103 1168
18,479 6624 3236 4533 372 3316 4200 457 531 5167 2228 1418 1339 262 4238 4291 955 6584 2369 5230
19,414 2167 5073 5532 2703 1373 4728 495 6627 54 2557 1655 6454 4697 1339 457 3269 5861 4977 2110
20,457 6173 3617 3410 6739 6033 6647 5076 6902 5081 1596 2652 788 6050 1572 4313 1298 2167 531 5326
21,1373 2557 2167 5532 3607 1252 1602 1458 6516 4691 6034 4291 91 4877 1960 596 4300 4709 4634 2731
22,1960 6133 1210 817 3977 3607 3875 132 4291 2557 6411 1131 2188 5919 1373 955 1940 355 2167 6284
23,2556 4709 3180 5981 6165 5323 5489 6190 3607 5407 4480 6125 2005 3666 5223 1252 1467 5236 2329 3526
24,2556 5489 4572 1940 1602 4231 6730 283 596 868 4877 5723 457 2917 2574 1339 4200 2539 2970 2628
25,2556 3410 6624 5469 3236 1339 2110 1294 479 372 4200 355 4709 5532 5076 2167 2369 868 4291 86
26,4220 868 412 5369 5069 6532 1651 3040 5073 4720 4532 4200 4373 4484 2152 1302 4835 4245 5861 417
27,2167 2557 4447 3666 457 5489 4572 1958 4231 1602 1339 3436 3410 3040 1759 5337 1252 1651 5407 966
28,479 5252 3516 2369 3410 6377 814 3125 6624 4238 86 3236 6810 536 3460 5460 6158 3602 1294 1554
29,2556 1373 1940 4877 4709 955 868 536 814 2369 3602 1252 457 1339 1602 5961 3977 3436 2574 2628
30,457 814 3236 5076 5252 1339 868 1418 5167 6624 5469 372 200 262 5340 6771 4200 6050 3666 665
31,5069 4291 814 5489 4200 1183 6158 236 5258 4220 5460 1252 412 5063 2574 3441 3989 6353 3512 4720
32,457 814 479 1373 2557 1252 4291 3666 4877 6624 2539 1940 3436 5469 1294 6840 868 984 6725 515
33,2628 3236 3410 1983 3285 6624 1373 814 457 5553 123 2167 4264 868 1968 5532 2152 2399 2019 1339
34,2557 457 2628 5766 5489 4264 2216 3666 2574 4572 2648 1339 89 5957 1940 3410 2798 1445 5965 3948
35,891 2779 3236 3512 5426 6096 3602 729 1183 4877 479 5158 6158 5167 201 6330 3966 5065 5241 355
36,4291 868 1656 4264 2167 2273 3236 5252 4200 414 966 1644 6561 6018 729 4759 596 3316 5340 4351
37,3410 2628 3236 6624 2399 355 372 1329 5553 1403 5258 4045 5069 4351 4720 5532 1539 1469 1983 2228
38,3410 5469 3236 4103 2232 262 531 2228 2880 5167 814 6635 372 1418 665 1294 868 777 2653 6624
39,3410 5252 4625 729 3236 3966 5469 3316 428 1554 814 1974 4200 4180 2152 2803 2835 2059 4554 2228
40,3410 814 3607 4634 1183 92 4291 4300 6519 1960 817 1245 1458 314 169 6330 6584 4373 4570 5076
41,3410 5252 3236 3512 3316 4200 1418 262 5469 814 200 4373 1554 4532 5340 5326 665 5076 6584 2556
42,3602 2556 1373 5394 5965 2321 1252 4572 5489 4231 4291 4718 6018 2539 5553 814 640 1930 3621 3010
