user_id,item_list
0,5857 2392 3305 2226 6411 5532 2709 828 3049 6492 2399 2809 5723 2699 5705 2530 504 3300 6022 4835
1,5323 3300 6810 3125 5630 4936 3460 812 2509 403 5223 4483 1771 2907 6457 2818 2329 1949 2295 1373
2,4264 5323 2557 5369 5390 5640 2529 495 6165 1539 3356 1127 2110 6054 1467 2228 123 2005 626 1393
3,5696 3713 4161 6739 1458 6329 6846 862 336 729 5543 5812 3410 1554 1974 2653 1407 5252 4635 1418
4,4373 4835 140 4484 1638 2167 5513 6684 5369 4855 2472 3966 6846 4029 2803 2602 1494 3410 5069 1901
5,5442 5532 4877 3410 6626 4484 6624 2505 5252 6050 3316 3966 424 1700 372 3512 4200 4514 4029 5705
6,3236 3602 5965 6684 1302 5941 2891 2167 4373 5498 4291 6651 4399 4714 2226 5466 2602 2473 531 4532
7,5231 1252 2904 3646 6190 290 596 3180 4270 2226 2917 617 4231 1985 146 1373 5203 3666 2167 2080
8,5466 2556 479 4533 536 5532 372 3236 6645 6382 531 457 1418 2835 3966 2653 1911 3000 4200 814
9,3602 5532 2557 3236 4200 2152 5854 479 5778 123 5744 531 5252 4180 355 2556 5553 4298 1539 6584
10,3265 2556 1554 3236 4342 457 6431 5069 6532 5766 2779 4728 6584 5549 4200 6626 2341 2059 3765 729
11,918 2556 3343 2412 6213 4877 4291 2871 1887 5532 806 2397 2275 1503 6802 4195 2692 479 4554 3730
12,1497 242 2556 4544 262 479 1974 5543 3945 3180 1087 2653 4723 3410 6709 1428 5167 2110 2835 596
13,2412 5812 4023 966 2167 1960 1245 6935 283 6073 1210 868 2232 5919 2556 817 6133 3666 4300 5644
14,5696 3294 1364 1696 6173 1062 4405 5081 5285 1373 5469 1428 5230 1596 4720 1572 2977 2228 6630 862
15,5231 4351 2273 2101 1783 1546 2904 6513 1009 5489 283 123 2574 879 4270 2626 2888 4358 4572 1491
16,4815 459 4855 5609 4291 5356 4570 6654 3410 1700 5510 5076 4864 4029 187 4709 1183 6651 4200 5879
17,1696 1497 536 5854 2329 6287 5640 1294 4023 5323 4813 5098 2005 2228 4027 4533 3410 5469 224 5966
18,1168 5532 479 6464 5335 956 4200 6624 5295 4831 1729 2228 5252 2152 3236 3244 457 955 6584 4247
19,966 495 5073 3269 6013 1696 3373 4728 1286 4709 4697 54 5387 4298 2167 2557 2110 1655 1962 479
20,3713 6050 6902 1403 2167 4592 6173 3617 3607 6033 2737 1458 2438 6647 1572 2556 1596 1373 6739 5081
21,6034 2093 4691 2557 1373 3656 5489 2703 966 955 3239 5640 4996 3875 180 2545 91 3180 4581 4545
22,6236 132 3977 1960 92 6411 3462 5825 1210 57 2188 4720 4351 1399 3622 5766 3824 3774 5919 2397
23,1399 3180 4709 4459 3051 1467 2556 5236 5323 6165 6125 6190 3746 5981 3607 982 5489 5407 4480 5630
24,1038 3607 2556 271 3778 1940 2917 5457 6472 1094 6018 2341 6926 4478 4720 596 559 5489 5723 1887
25,2110 1488 5295 1294 2556 4709 3493 4023 2080 1339 3236 2628 1503 3410 4554 5469 868 2426 1247 5981
26,3040 4720 1651 6018 1073 4220 407 6353 5861 5738 4697 4925 3560 5356 955 4245 868 4222 6646 941
27,2167 6203 2977 1887 1651 6273 1458 966 3666 5744 5337 5766 1373 457 3040 6730 2970 2986 283 4231
28,3516 4238 3441 2228 1294 3918 3460 1445 536 6635 4029 1503 479 3602 1143 6457 6142 972 325 6619
29,536 2556 5723 4709 1452 2397 4717 5640 2093 123 5609 1542 2329 2557 3201 4023 1373 4172 5329 5666
30,5532 479 3110 6050 2356 868 2539 1418 6771 3000 3666 1696 5252 3236 6624 814 5920 665 1339 187
31,6532 2871 5814 2574 6684 4970 3472 6620 578 1901 1610 5064 1143 3441 6158 4200 1779 4572 4561 1735
32,4032 2917 4270 1912 5854 2698 3666 2101 457 2556 2360 4149 459 984 6730 479 814 6291 1356 6107
33,2557 2170 2341 1983 2152 3180 1818 2040 3019 4351 6497 3445 3221 2195 5648 1968 3410 2019 3285 6947
34,3607 2216 2556 2648 4322 2324 261 3044 2703 4896 5671 5957 993 457 5490 6810 2110 5785 495 2154
35,5426 3410 2779 4312 927 5158 563 6096 1329 3264 4484 5065 4029 2798 6363 1632 6808 5609 2363 5879
36,966 3040 1644 729 868 3410 4759 4351 2273 5466 1306 4048 5258 596 4012 2793 2473 1038 1151 6561
37,2399 1329 5269 640 5258 4720 6492 6930 926 2628 3410 2228 4023 355 3441 5255 2080 4484 5323 5553
38,2232 2228 5469 6635 2556 3602 2024 3410 5340 6363 4023 3236 2653 428 777 5167 531 6961 2417 4313
39,5252 2632 6316 479 536 3236 4200 4554 2152 4180 5469 1974 2556 6562 4720 4625 5065 5662 729 2203
40,2390 2226 6018 3602 6050 5637 340 92 4634 1960 4608 814 2979 314 1930 3410 817 3526 6519 1632
41,3410 1168 5252 3316 262 2653 6645 2004 1554 200 1377 4881 2556 2754 5979 814 1418 2255 6219 6061
42,2321 3602 5394 3010 1930 1182 4855 1329 5814 640 5723 3904 1252 1691 1544 2780 4514 6730 2059 5489
43,5304 4270 1252 4191 1709 2556 1339 1602 4545 4195 146 5673 3410 479 4180 1552 1791 2101 372 868
44,5637 3588 457 2110 112 3316 531 1418 6196 1554 479 2356 2024 4570 2167 868 1567 2557 6796 6050
45,4220 4877 4720 2632 1779 6873 5294 5636 4312 4925 5390 3236 3989 5474 2287 3142 1736 5442 2659 4532
46,2776 918 6034 2886 6273 6018 3602 5666 5710 2628 86 2758 2150 2505 2557 5371 1503 3135 203 447
47,3962 1691 3349 4608 4916 6028 5532 1135 5354 865 1812 982 1220 6221 1709 3088 1307 1240 2628 1503
48,5723 2632 1700 1418 4625 6281 2645 5532 3325 3512 655 4912 4635 3702 2871 112 1051 1800 6415 5734
49,6519 1804 6378 4634 4300 1210 92 1651 1960 1940 6133 4023 2731 3666 414 2556 6730 552 5323 132
50,6377 536 5854 2888 4195 2556 479 1373 4784 5417 5469 5744 4251 2266 956 4709 290 2110 1294 2397
51,479 6377 2557 1610 777 4877 4399 1339 355 5640 5854 2228 2772 1000 5740 4484 5076 457 3300 956
52,3778 6077 2985 4989 3512 457 3236 4195 6050 1709 3602 4937 5167 3010 814 1329 2024 2645 1554 4200
53,625 4200 5961 5304 4554 2955 2556 6592 5408 2110 2226 479 6291 4291 2228 86 372 1418 5785 4572
54,2093 5408 2556 4570 4720 3441 5064 550 5258 6142 2294 2300 5252 1975 3410 6624 6651 4970 4045 4200
55,816 1286 2324 6329 6013 1940 457 3105 6516 1503 832 2228 4023 91 2110 2808 2399 918 4572 3506
