user_id,item_list
0,2530 2392 6411 5532 4486 828 3049 2399 2168 6492 2709 2699 5723 4349 3300 868 2628 1252 6022 5705
1,6810 5630 4936 3460 5223 2509 2628 4483 2927 2295 812 2907 1771 403 2329 6457 3506 1949 6357 6730
2,4264 2557 5640 5323 5390 5369 1539 2529 5723 1127 495 2228 2324 2110 6165 6054 5553 626 1467 123
3,4161 3713 6329 336 1458 6739 2873 729 6846 2653 1554 5543 862 1071 1418 5252 1407 4635 1940 1974
4,4373 3512 2808 4835 2167 1638 5356 5369 4855 2472 5513 6684 6802 5460 3966 3410 4532 6846 2803 5069
5,3512 5532 5442 3410 3316 6624 4200 6626 4484 5369 262 1073 2505 536 1554 1700 424 5063 3506 1494
6,3236 236 3602 4720 6651 6431 1302 2167 6684 2891 999 6316 2628 2952 5498 3930 2602 2473 2226 4399
7,2904 3646 5425 6190 290 596 4270 3180 2970 1985 4231 2080 6516 283 3666 617 4200 2917 1373 2986
8,2556 4533 1974 536 5532 6645 372 3236 1279 531 457 1192 3000 1418 2653 1911 814 2835 1339 5065
9,2557 3602 4200 4654 479 2152 5854 5553 6584 4453 531 5778 372 650 5387 123 4180 5744 868 355
10,1554 2556 3265 4728 3040 3713 3236 457 414 6158 5069 5766 4200 6532 6624 200 6626 4613 5460 5723
11,2556 4291 1887 2412 4691 5337 2871 1256 355 1488 1503 3410 5766 806 457 3236 2397 6802 6213 3285
12,4544 2556 262 1974 3410 3945 3180 1087 4723 5167 2653 868 6709 4572 2557 2110 372 5076 1428 3236
13,5489 5812 2167 966 1458 2556 6073 3666 5644 5919 1210 1245 2574 1960 4012 2917 2232 2397 4480 4300
14,5696 5469 3294 5285 1696 1364 1596 1373 4405 828 5081 2977 275 3637 2228 5230 6630 4484 479 531
15,1656 2273 1222 2101 1009 1621 5489 283 6513 2216 3445 4029 5553 2904 2626 1491 2556 4270 4572 5648
16,4815 4291 4709 5609 5356 459 479 4570 1700 5076 2110 4855 1968 4029 6654 5510 5460 2556 187 1373
17,2329 1696 5252 1168 1497 5323 1294 4813 414 6287 4027 4633 5407 2369 3066 4180 6213 6002 3410 2005
18,5532 5319 262 5335 6464 3236 6624 4200 956 2228 2152 1729 531 3316 4831 372 868 457 1339 5167
19,495 5073 6013 1696 3269 4728 3373 4709 2557 54 2167 4023 4697 3666 1962 3819 6639 1373 1286 2110
20,6050 6902 2167 6173 3617 1403 1458 2438 788 6519 1572 1373 5081 3410 4833 2152 1796 6739 6464 5919
21,6034 2557 1373 4691 3180 955 5640 596 3607 966 2703 6291 4581 180 2574 3875 4996 91 1458 4539
22,3977 4264 2557 1731 1960 132 1210 3607 57 4720 3774 4312 3496 4291 355 3824 5849 2188 5965 5919
23,2088 3180 4709 4459 3051 1467 2110 1653 3746 2556 5236 5407 5323 6125 5489 4480 5981 6165 3266 3372
24,6472 4720 5394 2556 6018 4478 1182 1940 596 5723 2917 271 5457 2341 3778 5489 6926 4813 1094 4231
25,2110 5295 4709 2556 1294 3493 4023 1339 4916 1503 2080 3955 4554 3236 2720 3807 1247 2369 2426 4570
26,3040 4720 1651 412 5861 4220 6561 1073 6018 6353 407 5738 955 6627 4245 3607 2557 868 2152 3269
27,2167 6203 1402 1887 966 1458 457 2808 3666 1651 6034 5766 5744 2557 5337 2110 596 3317 1958 3901
28,3516 4238 4029 3918 2657 536 479 6635 3460 1143 4296 1503 5854 3436 3602 14 1373 6619 4191 6457
29,536 2556 5857 4709 2329 1452 5640 4717 5705 5723 1168 1373 6291 1542 6098 5323 5609 2093 1252 123
30,6050 3110 3236 2356 1339 2438 814 6771 5252 5469 1696 3666 1418 3000 5920 4200 187 6873 6624 2110
31,2871 2574 6684 5814 3472 5792 4970 6620 578 1901 5064 1610 1143 6158 3441 4200 6330 6516 1217 3989
32,2917 984 1015 6107 5356 5854 2698 515 457 6725 479 814 2101 6840 1912 2360 1940 3666 662 6730
33,1983 2170 2341 2152 3180 1818 3445 2040 6497 3019 3221 2019 1373 3285 2195 6624 5648 1621 3236 5553
34,2648 2216 3044 2324 261 4896 457 2703 4322 2110 2557 5671 4572 5489 6810 993 1038 2574 5407 3666
35,6158 927 2779 5426 5609 4312 1632 1329 5158 2798 5065 6808 4484 6363 2363 6096 201 662 4625 3966
36,966 2273 6561 729 868 4759 1257 4351 2473 4048 1306 4012 1038 596 434 2727 2793 4291 2871 5284
37,2399 2628 1329 640 926 4720 6492 261 6930 5258 1867 2228 5553 3506 1539 1632 3410 355 4023 5255
38,2232 2228 3602 2653 5335 2024 6635 5469 3410 1373 868 6363 5167 531 3236 1716 6961 1974 4023 777
39,5252 729 5046 6316 536 5469 3236 4200 2152 4180 1800 6621 4554 4625 6562 2556 4720 5907 1554 814
40,2390 2226 3602 1458 340 5637 4634 1245 2979 1960 6330 3410 4796 4181 3526 814 4291 817 1632 6228
41,3316 1168 5252 504 1418 262 2004 3989 1377 814 5979 1554 200 5469 2556 5340 2754 6219 2255 6061
42,2321 5394 3602 1930 3010 1252 2780 5723 640 1544 1329 5814 1691 2556 4514 4231 5661 2101 2059 3217
43,4270 5304 1709 4514 4191 479 4545 4195 868 4200 2167 3410 2101 1552 4180 6730 1791 5076 4251 355
44,5369 457 112 3588 2110 479 1418 2356 6771 814 2557 5167 2024 6196 1554 3236 868 3233 2167 1339
45,4220 3236 4312 6018 2677 5636 3989 4291 4925 5294 2659 2505 5766 1736 2555 6651 5474 3142 2445 2636
46,2776 918 5532 6034 6018 6273 3602 5666 2628 5710 3053 4527 4264 2758 86 2557 1503 2505 2796 5371
47,1135 1691 4916 865 4608 5532 1307 1812 6028 2955 1220 982 4270 2628 4709 1503 1497 146 3208 1252
48,2632 5723 4625 3512 1418 5532 3702 6281 4635 5369 2645 2871 112 262 1800 655 2628 531 6415 1610
49,1804 6519 6378 4300 92 1210 1651 1960 414 1940 6133 4023 6730 2731 132 552 3666 2556 5323 6305
50,6377 536 3410 2888 5854 5417 4195 6624 1373 1339 4200 2557 4291 4533 4709 4784 4251 868 6382 956
51,4877 1702 355 1610 457 777 123 1339 1716 5740 3300 5854 1000 6821 5076 4484 6219 1825 2772 6758
52,3778 4989 6077 1709 6050 4195 2645 4200 1418 5167 1329 457 5920 3010 4709 1134 5252 1377 431 200
53,625 5304 1912 5898 2110 2955 4554 6592 5961 479 5785 372 814 4291 3666 6291 1339 2844 2228 6190
54,5408 2093 6651 1895 2556 4570 3441 5252 4720 1975 550 6624 5258 2300 3410 4045 4200 4291 3607 1968
55,6013 495 2324 6329 3105 6516 1940 2110 457 2556 1503 2228 3373 4572 4023 3269 6627 4012 3819 1343
56,3256 201 1403 814 4291 1389 4029 6666 355 6363 479 4302 1610 1553 6624 261 5553 4635 4373 3316
57,1602 5064 5076 4570 2556 4045 5252 6073 1183 3316 3201 6018 4373 2329 531 4572 6330 1554 4023 5304
58,1651 84 1574 4709 2459 2251 5532 5063 3604 563 6802 5356 4359 3966 5498 6621 4312 2803 6684 2574
59,5965 4533 6173 5532 5766 2199 3208 1373 1062 4161 6647 2556 4967 5510 6466 6050 5972 193 1691 5285
60,4709 2194 6377 2228 51 3875 1403 1319 5323 6142 4291 5466 5740 6198 868 1779 657 814 4777 5073
61,2228 2556 955 4533 372 5532 868 1905 1294 434 4877 2628 1015 1983 3819 2636 4554 3410 291 275
